date;;div
31/05/2017;32.2477;0.322477
 30/11/2016;26.7091;0.267091
31/05/2016;19.1787;0.191787
30/11/2015;15.8256;0.158256
29/05/2015;20.0816;0.200816
30/11/2014;22.62;0.2262
31/05/2014;21.823;0.21823
