Date,Price,Growth,Total Savings,UP,Buy,Total Savings Invested,Total Savings Left,Total Savings Left in UPs,Order,UPs,Montante Investido,Montante Total
2018-05-09,6331.854310130106,326.9101735239977,45970,0.051629452844640766,False,45900.0,70.0,0.011055213302682837,0.0,44.6642800626738,282807.71422369924,282877.71422369924
2018-05-10,6485.6706980779845,334.85162947228565,45980,0.051629452844640766,False,45900.0,80.0,0.012334884659455165,0.0,44.6642800626738,289677.8124532322,289757.8124532322
2018-05-11,6537.4863118748035,337.52684126142464,45990,0.051629452844640766,False,45900.0,90.0,0.01376675922617573,0.0,44.6642800626738,291992.1195394726,292082.1195394726
2018-05-14,6545.2967492835905,337.93008987131765,46000,0.051629452844640766,False,45900.0,100.0,0.015278146099479051,0.0,44.6642800626738,292340.9671033107,292440.9671033107
2018-05-15,6428.054093078719,331.8769156814078,46010,0.051629452844640766,False,45900.0,110.0,0.017112488228504537,0.0,44.6642800626738,287104.40827128454,287214.40827128454
2018-05-16,6498.263000851432,335.50176317453275,46020,0.051629452844640766,False,45900.0,120.0,0.018466473268976196,0.0,44.6642800626738,290240.2385909394,290360.2385909394
2018-05-17,6483.997547840654,334.76524564100544,46030,0.051629452844640766,False,45900.0,130.0,0.02004935983408777,0.0,44.6642800626738,289603.0824024451,289733.0824024451
2018-05-18,6441.906605780848,332.59211333274214,46040,0.051629452844640766,False,45900.0,140.0,0.021732696322291693,0.0,44.6642800626738,287723.12077818415,287863.12077818415
2018-05-21,6568.318697363349,339.1187004540933,46050,0.051629452844640766,False,45900.0,150.0,0.022836894327343298,0.0,44.6642800626738,293369.2258399334,293519.2258399334
2018-05-22,6520.672341974111,336.65874519530564,46060,0.051629452844640766,False,45900.0,160.0,0.024537347010992513,0.0,44.6642800626738,291241.13567886275,291401.13567886275
2018-05-23,6567.455641928789,339.0741413742324,46070,0.051629452844640766,False,45900.0,170.0,0.02588521480292372,0.0,44.6642800626738,293330.67809029453,293500.67809029453
2018-05-24,6532.213676933887,337.2546180043756,46080,0.051629452844640766,False,45900.0,180.0,0.027555742800576762,0.0,44.6642800626738,291756.6210958033,291936.6210958033
2018-05-25,6491.884575259364,335.1724485512041,46090,0.051629452844640766,False,45900.0,190.0,0.02926731025442009,0.0,44.6642800626738,289955.35080393637,290145.35080393637
2018-05-29,6297.486925969502,325.1358042840842,46100,0.051629452844640766,False,45900.0,200.0,0.031758700311904156,0.0,44.6642800626738,281272.71975252853,281472.71975252853
2018-05-30,6516.240705159622,336.42994221136735,46110,0.051629452844640766,False,45900.0,210.0,0.03222717046559069,0.0,44.6642800626738,291043.1998110443,291253.1998110443
2018-05-31,6412.348472546311,331.06604308673406,46120,0.051629452844640766,True,45900.0,220.0,0.034308802920163056,44.64695941274932,44.69858886559396,286622.928037267,286842.928037267
2018-06-01,6576.292134327055,339.5303646418206,46130,0.051629452844640766,False,46120.0,10.0,0.0015206137129769237,0.0,44.69858886559396,293950.97837232443,293960.97837232443
2018-06-04,6657.25584090311,343.7104765126164,46140,0.051629452844640766,False,46120.0,20.0,0.0030042408580900864,0.0,44.69858886559396,297569.9418056021,297589.9418056021
2018-06-05,6669.755116435797,344.35580726932346,46150,0.051629452844640766,False,46120.0,30.0,0.004497916261733982,0.0,44.69858886559396,298128.6417837555,298158.6417837555
2018-06-06,6814.650670047695,351.8366854219271,46160,0.051629452844640766,False,46120.0,40.0,0.00586970659784679,0.0,44.69858886559396,304605.2685631063,304645.2685631063
2018-06-07,6812.648625783055,351.73332097197294,46170,0.051629452844640766,False,46120.0,50.0,0.007339289422732108,0.0,44.69858886559396,304515.7800096304,304565.7800096304
2018-06-08,6865.359592285326,354.4547593313974,46180,0.051629452844640766,False,46120.0,60.0,0.008739527652334862,0.0,44.69858886559396,306871.88583002356,306931.88583002356
2018-06-11,6888.823414222452,355.66618361965527,46190,0.051629452844640766,False,46120.0,70.0,0.010161386900334848,0.0,44.69858886559396,307920.68556000665,307990.68556000665
2018-06-12,6912.336520658601,356.8801524396315,46200,0.051629452844640766,False,46120.0,80.0,0.011573510601069184,0.0,44.69858886559396,308971.68823754904,309051.68823754904
2018-06-13,6855.113477091568,353.9257580101605,46210,0.051629452844640766,False,46120.0,90.0,0.013128885510176044,0.0,44.69858886559396,306413.89893950825,306503.89893950825
2018-06-14,6899.988181826802,356.24261446220544,46220,0.051629452844640766,False,46120.0,100.0,0.014492778446110985,0.0,44.69858886559396,308419.7349169334,308519.7349169334
2018-06-15,6877.124438095133,355.0621718833593,46230,0.051629452844640766,False,46120.0,110.0,0.01599505738047521,0.0,44.69858886559396,307397.75783594325,307507.75783594325
2018-06-18,6840.214484835575,353.15653119204705,46240,0.051629452844640766,False,46120.0,120.0,0.017543309535985197,0.0,44.69858886559396,305747.93501014594,305867.93501014594
