"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2015-04-14,2016-02-11,2016-12-07,-12.81,432,218,214
"2",2013-05-22,2013-06-24,2013-10-18,-6.51,108,24,84
"3",2014-09-09,2014-10-16,2014-11-06,-4.93,43,28,15
"4",2014-12-08,2014-12-16,2014-12-23,-3.11,12,7,5
"5",2017-06-21,2017-08-29,2017-10-13,-3.07,83,50,33
