"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2015-04-14,2016-02-11,2016-12-08,-14.98,433,218,215
"2",2013-05-21,2013-06-24,2013-10-18,-7.11,109,25,84
"3",2014-09-09,2014-10-16,2014-10-31,-5.79,39,28,11
"4",2017-06-20,2017-08-29,2017-10-27,-4.35,94,51,43
"5",2014-12-08,2014-12-16,2014-12-23,-3.78,12,7,5
