"","8Fundos DEF","8Fundos EW","8Fundos AGR"
"2013-05-13",99.99,100.02,100.05
"2013-05-14",100.15,100.35,100.59
"2013-05-15",100.51,100.97,101.42
"2013-05-16",100.57,100.91,101.15
"2013-05-17",100.69,101.2,101.63
"2013-05-20",100.66,101.22,101.68
"2013-05-21",100.64,101.22,101.62
"2013-05-22",100.45,100.99,101.28
"2013-05-23",99.86,100.14,100.32
"2013-05-24",99.76,99.96,100.15
"2013-05-27",99.75,99.95,100.17
"2013-05-28",99.8,100.34,100.81
"2013-05-29",99.39,99.84,99.99
"2013-05-30",99.11,99.43,99.64
"2013-05-31",98.79,99.04,99.08
"2013-06-03",98.52,98.64,98.65
"2013-06-04",98.4,98.5,98.54
"2013-06-05",97.96,97.78,97.56
"2013-06-06",97.53,97.2,96.97
"2013-06-07",97.61,97.47,97.51
"2013-06-10",97.55,97.58,97.67
"2013-06-11",97.05,96.93,96.86
"2013-06-12",96.78,96.54,96.31
"2013-06-13",96.9,96.64,96.61
"2013-06-14",97.16,96.82,96.58
"2013-06-17",97.31,97.17,97.06
"2013-06-18",97.23,97.17,97.09
"2013-06-19",97.05,97.13,97.02
"2013-06-20",95.88,95.9,95.59
"2013-06-21",95.4,95.42,95.31
"2013-06-24",94.7,94.63,94.45
"2013-06-25",94.92,94.92,95
"2013-06-26",95.49,95.63,95.74
"2013-06-27",96.01,96.29,96.53
"2013-06-28",96.15,96.46,96.58
"2013-06-30",96.15,96.46,96.58
"2013-07-01",96.35,96.85,97.23
"2013-07-02",96.61,97.15,97.44
"2013-07-03",96.43,96.93,97.18
"2013-07-04",96.65,97.29,97.56
"2013-07-05",96.74,97.79,98.3
"2013-07-08",97.03,98.1,98.64
"2013-07-09",97.49,98.7,99.38
"2013-07-10",97.43,98.68,99.26
"2013-07-11",97.75,98.98,99.67
"2013-07-12",97.87,99.15,99.78
"2013-07-15",98.01,99.3,100
"2013-07-16",97.9,98.97,99.4
"2013-07-17",98.08,99.12,99.68
"2013-07-18",98.29,99.47,100.11
"2013-07-19",98.36,99.5,100.03
"2013-07-22",98.38,99.49,100
"2013-07-23",98.29,99.38,99.76
"2013-07-24",98.06,99.22,99.6
"2013-07-25",97.92,99.09,99.55
"2013-07-26",97.92,99,99.33
"2013-07-29",97.82,98.88,99.22
"2013-07-30",97.88,99,99.45
"2013-07-31",97.95,99.13,99.66
"2013-08-01",98.13,99.64,100.41
"2013-08-02",98.49,100.01,100.62
"2013-08-05",98.53,100.11,100.84
"2013-08-06",98.38,99.89,100.48
"2013-08-07",98.11,99.38,99.9
"2013-08-08",98.13,99.34,99.9
"2013-08-09",98.32,99.63,100.16
"2013-08-12",98.35,99.71,100.25
"2013-08-13",98.18,99.74,100.36
"2013-08-14",98.15,99.74,100.31
"2013-08-15",97.87,99.5,100.05
"2013-08-16",97.29,98.64,98.99
"2013-08-19",97.01,98.39,98.68
"2013-08-20",96.95,98.11,98.47
"2013-08-21",96.81,98,98.23
"2013-08-22",96.91,98.31,98.7
"2013-08-23",97.12,98.49,98.81
"2013-08-26",97.17,98.5,98.79
"2013-08-27",96.89,97.87,97.69
"2013-08-28",96.65,97.59,97.61
"2013-08-29",96.98,98.08,98.24
"2013-08-30",96.86,97.86,97.83
"2013-09-02",96.95,98.01,98.08
