Date,TR
1871-01-01,1.0
1871-02-01,1.0688326624496836
1871-03-01,1.1502788320235127
1871-04-01,1.2380353449863761
1871-05-01,1.3246971608842266
1871-06-01,1.3691134525291688
1871-07-01,1.3988682423932177
1871-08-01,1.471932020196955
1871-09-01,1.5426158039994817
1871-10-01,1.518254384547249
1871-11-01,1.590112252269337
1871-12-01,1.6797010618147599
1872-01-01,1.778246415924802
1872-02-01,1.8423089832611526
1872-03-01,1.9601593649934683
1872-04-01,2.0727571724134997
1872-05-01,2.1316295128390315
1872-06-01,2.1706284064758847
1872-07-01,2.2182112688493616
1872-08-01,2.253114665686428
1872-09-01,2.274582602887316
1872-10-01,2.3461770909454036
1872-11-01,2.3998633940170735
1872-12-01,2.521871687772742
1873-01-01,2.606129813472573
1873-02-01,2.6914236638674116
1873-03-01,2.735944934315374
1873-04-01,2.7644236833935367
1873-05-01,2.8363980127214448
1873-06-01,2.8641028812200613
1873-07-01,2.925904862104563
1873-08-01,2.9939899684875417
1873-09-01,2.8336902517308844
1873-10-01,2.6558945036543973
1873-11-01,2.6304955992174737
1873-12-01,2.9481312185666635
1874-01-01,3.1784235077042
1874-02-01,3.3441253919188547
1874-03-01,3.365569662577485
1874-04-01,3.3432826280835415
1874-05-01,3.326279325482288
1874-06-01,3.38164263016526
1874-07-01,3.4518553961227063
1874-08-01,3.529807748170114
1874-09-01,3.6552971455306715
1874-10-01,3.717458596189593
1874-11-01,3.8204966036144974
1874-12-01,3.865629523158719
1875-01-01,3.93531037422255
1875-02-01,3.995791225868043
1875-03-01,4.117332634242229
1875-04-01,4.23923908224929
1875-05-01,4.142692696361259
1875-06-01,4.126304052896039
1875-07-01,4.202214200107061
1875-08-01,4.287316130742939
1875-09-01,4.313854441517306
1875-10-01,4.309647415310617
1875-11-01,4.444166168385193
1875-12-01,4.507995955619236
1876-01-01,4.664667764822553
1876-02-01,4.791250930058693
1876-03-01,4.844480604615614
1876-04-01,4.725702475489423
1876-05-01,4.615312816622473
1876-06-01,4.6460183491917615
1876-07-01,4.6538720117367465
1876-08-01,4.5247363740939
1876-09-01,4.312246382757322
1876-10-01,4.3527035608707285
1876-11-01,4.333511754300698
1876-12-01,4.37326647623307
1877-01-01,4.398491332220894
1877-02-01,4.198235057429044
1877-03-01,4.042531158149785
1877-04-01,3.8052457576557988
1877-05-01,3.8593308640387773
1877-06-01,3.6357920333247615
1877-07-01,3.8457772805225767
1877-08-01,4.163890430480862
1877-09-01,4.469556921894843
1877-10-01,4.610440572229976
1877-11-01,4.583179433548093
1877-12-01,4.6095461328447405
1878-01-01,4.649801451993677
1878-02-01,4.589715712045662
1878-03-01,4.716207738728178
1878-04-01,4.886936913503724
1878-05-01,4.941144314624079
1878-06-01,5.0840629335252965
1878-07-01,5.2276193511411835
1878-08-01,5.221553667079622
1878-09-01,5.366328021471802
1878-10-01,5.344006595695889
1878-11-01,5.367118340010044
1878-12-01,5.374481812696232
1879-01-01,5.615658093149972
1879-02-01,5.858578638431953
1879-03-01,5.80319243805128
1879-04-01,6.033705730680887
1879-05-01,6.34584647670572
1879-06-01,6.4184844272840955
1879-07-01,6.588938013392993
1879-08-01,6.678993430492657
1879-09-01,6.966637341230139
1879-10-01,7.767884892492594
1879-11-01,8.225027497906252
1879-12-01,8.250897063639213
1880-01-01,8.613146288592935
1880-02-01,8.809526389358009
1880-03-01,9.024685039235187
1880-04-01,8.867161058419104
1880-05-01,8.213192465649302
1880-06-01,8.296565501546132
1880-07-01,8.727618614352005
1880-08-01,9.092249579984223
1880-09-01,9.126858454240802
1880-10-01,9.444341211582449
1880-11-01,9.994734530589378
1880-12-01,10.459819979353632
1881-01-01,11.143075730812273
1881-02-01,11.16451906361754
1881-03-01,11.349693613496164
1881-04-01,11.372890858461089
1881-05-01,11.945492088868654
1881-06-01,12.154215657621998
1881-07-01,11.792138210623053
1881-08-01,11.577413551936866
1881-09-01,11.735673407280215
1881-10-01,11.613860079572243
1881-11-01,11.756418657498541
1881-12-01,11.482636985472833
1882-01-01,11.37876912535123
1882-02-01,11.19698261242751
1882-03-01,11.245729234160354
1882-04-01,11.313814340543333
1882-05-01,11.244880934151565
1882-06-01,11.253886105679106
1882-07-01,11.955992964494712
1882-08-01,12.382757859812532
1882-09-01,12.571063916290779
1882-10-01,12.296668114697887
1882-11-01,11.838042560484247
1882-12-01,11.967253532067662
1883-01-01,11.974033233757346
1883-02-01,11.774558472493725
1883-03-01,11.988284489029928
1883-04-01,12.307262008060931
1883-05-01,12.166576983457333
1883-06-01,12.34115552953619
1883-07-01,12.219632067190874
1883-08-01,11.734674234726159
1883-09-01,11.93307180500088
1883-10-01,11.679240993468976
1883-11-01,11.92295255771577
1883-12-01,11.731122410316825
1884-01-01,11.449479169717643
1884-02-01,11.828435190980858
1884-03-01,11.853116325681219
1884-04-01,11.385158669504245
1884-05-01,10.531092621394976
1884-06-01,10.168875018516653
1884-07-01,10.236598422771973
1884-08-01,10.946637804718728
1884-09-01,10.66724649255755
1884-10-01,10.385303240471467
1884-11-01,10.241109485884568
1884-12-01,10.283524152265757
1885-01-01,10.111299995408965
1885-02-01,10.48478435395949
1885-03-01,10.571011038054921
1885-04-01,10.607876309657538
1885-05-01,10.54624940801824
1885-06-01,10.555934817575286
1885-07-01,11.005990383276258
1885-08-01,11.678939371939057
1885-09-01,11.584950308249905
1885-10-01,12.311178033766675
1885-11-01,13.164202932693556
1885-12-01,13.114776663757938
1886-01-01,13.165478791417513
1886-02-01,13.469022777995509
1886-03-01,13.23947702222579
