"MSid";"ISIN";"Nome"
"F0GBR06TSA";"IE0031786142";"Vanguard Emerging Markets Stock Index Fund Investor EUR Accumulation"
"F00000PA9N";"IE00B42W4L06";"Vanguard Global Small-Cap Index Fund Institutional EUR Accumulation"
"F00000NGKR";"LU0717749021";"Invesco Funds- Invesco China Focus Equity Fund E Accumulation EUR"
"F00000T1I9";"IE0007201266";"Vanguard Pacific ex-Japan Stock Index Fund Institutional EUR Accumulation"
"FOGBR05KNY";"LU0248273137";"BlackRock Global Funds - India Fund E2"
"F00000MIC6";"LU0474968020";"Pictet-Emerging Markets Index R EUR"
"F00000MO70";"LU0625738058";"Pictet-China Index R EUR"
"F0GBR04LWJ";"LU0130731713";"Pictet-Europe Index R EUR"
"FOGBR05K0E";"LU0255981135";"Pictet-Euroland Index R EUR"
"F00000MO76";"LU0625739700";"Pictet-India Index R EUR"
"F00000MIC3";"LU0474966834";"Pictet-Japan Index R EUR"
"F00000MIC8";"LU0474967139";"Pictet-Pacific Ex Japan Index R EUR"
"F00000MIC1";"LU0474966248";"Pictet-USA Index R EUR"
"F0GBR04D2G";"LU0052588471";"Fidelity Funds - European Multi Asset Income Fund A-DIST-EUR"
"F00000T4KE";NA;"Flossbach von Storch - Multiple Opportunities II RT"
"F00000Q8QC";"LU0853555380";"Jupiter Global Fund - Jupiter Dynamic Bond Class L EUR Acc"
"F00000ZY64";"LU1582988058";"M&G (Lux) Investment Funds 1 - M&G (Lux) Dynamic Allocation Fund A EUR Acc"
"F0GBR04V75";"LU0114064917";"Eurizon Fund - Equity World Smart Volatility Class Unit R EUR Accumulation"
"F0GBR06T5P";"IE00B11XYY66";"PIMCO GIS Euro Bond Fund E Class EUR Accumulation"
"F00000J7E6";"IE00BCRY5Q93";"Rubrics Global UCITS Funds plc - Rubrics Global Credit UCITS Fund E EUR"
"F00000NRZS";"LU0733674179";"Nordea 1 - European Cross Credit Fund E EUR"
"F00000NGSG";"LU0607512935";"Invesco Funds - Invesco Developed Small and Mid-Cap Equity Fund E Accumulation EUR"
"F000000RLR";"LU0345362106";"Fidelity Funds - Asia Pacific Opportunities Fund E-Acc-EUR"
"FOGBR05KLP";"LU0261953490";"Fidelity Funds - Euro Cash Fund A-Acc-EUR"
"F0GBR04KNO";"LU0133265412";"Goldman Sachs US CORE® Equity Portfolio E Acc EUR"
"F00000ND3T";NA;"Optimize Capital Reforma PPR/OICVM Ativo - Fundo de Investimento Aberto de Poupança Reforma"
"F0GBR04KNM";"LU0133264795";"Goldman Sachs Japan Equity Portfolio E Acc EUR Snap"
"F000000275";"LU0260085492";"Jupiter Global Fund - Jupiter European Growth Class L EUR Acc"
"F000000F87";"IE00B19Z9612";"Legg Mason ClearBridge US Large Cap Growth Fund Class A Euro Accumulating"
"F00000T1I8";"IE0007201043";"Vanguard Pacific ex-Japan Stock Index Fund Investor EUR Accumulation"
"F0GBR04EP3";"IE0030011294";"BNY Mellon Global Funds PLC - BNY Mellon Global High Yield Bond Fund A EUR Acc"
"F0GBR04D28";"LU0056886558";"Fidelity Funds - SMART Global Defensive Fund A-DIST-EUR"
"F00000Q4A8";"PTOPZHHM0006";"Optimize Obrigações - Fundo de Investimento Mobiliário Aberto de Obrigações"
"F0000004J1";"LU0257370246";"Goldman Sachs Global CORE® Equity Portfolio E Acc EURClose"
"F000000AVO";"LU0280435461";"Pictet-Clean Energy R EUR"
"F0GBR06W8V";"LU0251130554";"Fidelity Funds - SMART Global Defensive Fund A-Acc-EUR"
"F000011S12";"LU1864948812";"Threadneedle (Lux) - American Extended Alpha 1E (EUR Accumulation)"
"F0000104Y4";"IE00BDFB5F89";"Vanguard Global Corporate Bond Index Fund Institutional Plus EUR Hedged Accumulation"
"F0000101QX";"LU1720112173";"LUXEMBOURG SELECTION FUND - Arcano Low Volat Europ Inc Fd - ESG Selection VE-AP"
"F0000101QW";"LU1720110474";"LUXEMBOURG SELECTION FUND - Arcano Low Volat Europ Inc Fd - ESG Selection CE-A"
"F0000101QY";"LU1720111282";"LUXEMBOURG SELECTION FUND - Arcano Low Volat Europ Inc Fd - ESG Selection RE-A"
"F0GBR04VDP";NA;"NB Obrigações Europa - Fundo de Investimento Mobiliário Aberto de Obrigações"
"F000002EX0";"DE000A0X7541";"Acatis Gané Value Event Fonds A"
"F0GBR04LVV";"LU0115769746";"Fidelity Funds - World Fund E-Acc-EUR"
"F000003YGQ";"IE00B5ZW6Z28";"PIMCO GIS Emerging Local Bond Fund E Class EUR (Unhedged) Accumulation"
"F00000YSYB";"LU1434527435";"Candriam SRI Equity World C EUR Acc"
"F00000LNTQ";"LU0552385295";"Morgan Stanley Investment Funds - Global Opportunity Fund A"
"F00000WDSM";"LU1295554163";"Capital Group New Perspective Fund (LUX) T"
"F0GBR04LVP";"LU0115773425";"Fidelity Funds - Global Technology Fund E-Acc-EUR"
"F00000UH71";"LU1097689522";"Invesco Funds - Invesco Global Income Fund E Accumulation EUR"
"F00000IRBH";"LU0503253931";"Invesco Funds - Invesco Gold & Precious Metals Fund E Accumulation EUR"
"F0000001NP";"LU0267984697";"Invesco Funds - Invesco India Equity Fund E Accumulation EUR"
"F0GBR06T9O";"LU0243957742";"Invesco Funds - Invesco Pan European High Income Fund E Accumulation EUR"
"F00000J5HW";"LU0522352789";"JPMorgan Funds - Brazil Equity Fund D (acc) - EUR"
"F0GBR056YC";"LU0173776989";"Nordea 1 - European Covered Bond Fund E EUR"
"F000002HFH";"LU0395794307";"JPMorgan Investment Funds - Global Income Fund A (div) - EUR"
"F00000NY97";"LU0740858229";"JPMorgan Investment Funds - Global Income Fund A (acc) - EUR"
"F00000T4KE";NA;"Flossbach von Storch - Multiple Opportunities II RT"
"F0GBR04VQR";"LU1883841295";"Amundi Funds - Pioneer Strategic Income A EUR Hgd (C)"
"F00000VDUR";"LU1095503022";"DWS Fixed Maturity Corporate Bonds 2022"
"F000003W9G";"IE00B65YMK29";"Muzinich Enhancedyield Short-Term Fund Hedged Euro Accumulation R Units"
"F00000OZZ4";"IE00B7KFL990";"PIMCO GIS Income Fund E Class USD Accumulation"
"F00000MEJL";"LU0599946893";"DWS Concept Kaldemorgen EUR LC"
"F0GBR04AFQ";"LU0106235707";"Schroder International Selection Fund EURO Bond B Accumulation EUR"
"F00000TH42";"IE00BHCR9222";"Rubrics Global UCITS Funds plc - Rubrics Global Credit UCITS Fund B EUR"
"F0GBR04EV4";"LU0143551892";"T. Rowe Price Funds SICAV - Global Focused Growth Equity Fund A USD"
"F00000259C";"LU0264738294";"Janus Henderson Horizon Global Property Equities Fund A2 EUR"
