,Portfolio
2020-01-01,0.0
2020-01-02,0.00644689618503258
2020-01-03,0.0014528164828633283
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,-0.001582591493570762
2020-01-07,0.00277392510402219
2020-01-08,0.0009220839096357736
2020-01-09,0.0030927156675659706
2020-01-10,0.0002623983206506697
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,-0.0007869884575024688
2020-01-14,0.002231556839065174
2020-01-15,0.0009823182711199419
2020-01-16,0.0018972849198559683
2020-01-17,0.0037873840929869562
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.000715586781160571
2020-01-21,0.0005200546057335664
2020-01-22,0.0012344876876095867
2020-01-23,-0.0007138221933807865
2020-01-24,0.003182024806805517
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,-0.008803728638011266
2020-01-28,0.00444096133751315
2020-01-29,0.0025357607282183725
2020-01-30,-0.00544782411310718
2020-01-31,-0.0046951418324094885
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.002882788442639006
2020-02-04,0.007774220944665844
2020-02-05,0.003500583430571913
2020-02-06,0.0039405684754521
2020-02-07,0.0009651888552859589
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0019285163281050899
2020-02-11,0.003208007185936168
2020-02-12,0.002430289076490011
2020-02-13,0.0020415975500829298
2020-02-14,0.00031834967528343583
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0017821908217170446
2020-02-18,-0.002795603278480163
2020-02-19,0.005352022937241241
2020-02-20,-0.004753152924773407
2020-02-21,-0.002228731533367223
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,-0.015763609675154777
2020-02-25,-0.007651407080793704
2020-02-26,-0.0024176685833768863
2020-02-27,-0.02115674330254791
2020-02-28,-0.01753211991434689
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0051082958724968375
2020-03-03,0.007589618486142147
2020-03-04,0.00423700316093889
2020-03-05,-0.0022769890168765627
2020-03-06,-0.017317760773258084
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,-0.02841530054644803
