Date,MSCI USA,MSCI USA sem hedge
2019-12-31,158.09934469502173,158.32463754367626
2020-01-01,158.09934469502173,158.32463754367626
2020-01-02,159.4588621718168,160.02822179006748
2020-01-03,158.40407795954115,159.48236335752307
2020-01-06,158.9696242095829,159.7013391516068
2020-01-07,158.57643424763359,159.992648105108
2020-01-08,159.37471845043459,161.1159860234941
2020-01-09,160.47710815304734,162.47885342060707
2020-01-10,160.04123019097153,161.8772628816262
2020-01-13,161.20086273471247,162.75000395263126
2020-01-14,160.98270287349965,162.71245395184076
2020-01-15,161.26188378935956,162.5559297380192
2020-01-16,162.6326080287151,164.0848076649429
2020-01-17,163.22860086708226,165.37652769213702
2020-01-20,163.22860086708226,165.563091906591
2020-01-21,162.84368809905726,164.94173820929936
2020-01-22,162.94750178128206,165.38245663963025
2020-01-23,163.14539879276165,166.0330598112219
2020-01-24,161.69007744640166,164.85794241806153
2020-01-27,159.16675395308633,162.46936710461785
2020-01-28,160.78636364851698,164.30141188002932
2020-01-29,160.67283123859457,164.21524450979422
2020-01-30,161.220881453726,164.23026451011037
2020-01-31,158.40884432121106,160.68159180382256
2020-02-03,159.67012824651684,162.31956236462193
2020-02-04,162.16430718201156,165.13897452924112
2020-02-05,163.76000369218616,167.31726983825786
2020-02-06,164.32374802501118,168.2678777530075
2020-02-07,163.47140630571016,167.60146405476718
2020-02-10,164.7017088801616,169.48094041012456
2020-02-11,165.0519202101753,169.97383357839598
2020-02-12,166.12367732010466,171.3912472924468
2020-02-13,165.97754764646908,171.98256098910602
2020-02-14,166.3442203621525,172.4102357349518
2020-02-17,166.3442203621525,172.6489746873463
2020-02-18,165.91784024759937,172.32564941738156
2020-02-19,166.75232554854688,173.68179734066888
2020-02-20,166.18015289325677,172.9098483770489
2020-02-21,164.41774997735942,170.3113883223445
2020-02-24,158.93452751231112,164.56347135923048
2020-02-25,154.09081128009444,159.43058388274866
2020-02-26,153.43618056791516,158.7384780787043
2020-02-27,146.68936074836034,150.094072633559
2020-02-28,145.49138805635764,148.88851997659998
2020-03-02,152.10054140055905,153.5964995493995
2020-03-03,147.91726851670447,148.75096839475674
2020-03-04,154.07793047831342,155.46095590444068
2020-03-05,148.9427454173464,149.63477683441587
2020-03-06,146.34378790202052,145.44459200935935
2020-03-09,135.1137399210339,133.01317016869788
2020-03-10,141.7186384155495,140.42554032474774
2020-03-11,134.7363138284123,134.30014703789737
2020-03-12,121.93895825236791,123.69405049882167
2020-03-13,133.07693407621898,135.1448244241011
2020-03-16,116.95115839445201,118.02716248478195
2020-03-17,123.84788610116127,126.88421951335155
2020-03-18,117.27642188996914,121.68769466710896
2020-03-19,118.11810323451093,124.0727126120567
2020-03-20,113.09986841354187,118.94061566190732
2020-03-23,109.85265083529303,114.76861294249674
2020-03-24,120.18857586809663,125.13676105551035
2020-03-25,121.69177008605818,126.28065265853962
2020-03-26,129.28910645715268,131.83410014387533
2020-03-27,124.97696742912542,127.04509162200146
2020-03-30,129.09848686617394,131.57401698050515
2020-03-31,127.03789571409901,130.1463264241327
2020-04-01,121.36455354478366,124.8861642081293
2020-04-02,124.05013096450561,128.36052743916852
2020-04-03,122.14154024861091,127.14667425571899
2020-04-06,130.83763923734006,136.38832234501683
2020-04-07,130.69581091447975,135.0072728422579
2020-04-08,135.24598901946501,139.9456908409614
2020-04-09,137.3139505942198,141.11132191813257
2020-04-10,137.3139505942198,141.11132191813257
2020-04-13,135.96150128302298,140.2085408464951
2020-04-14,140.1455995612155,143.6208477604384
2020-04-15,137.10757875918566,141.33187876488117
2020-04-16,137.90539795109206,142.88170563961435
2020-04-17,141.65120021055674,146.22997992063065
2020-04-20,139.17498232086686,143.77302407943156
2020-04-21,134.85079951066885,139.5622855697318
2020-04-22,137.98996018227942,143.2595772265169
2020-04-23,137.94420311024845,143.2054261727453
2020-04-24,139.8820546366874,145.42561937738094
2020-04-27,142.0937859547875,147.3434362598613
2020-04-28,141.3240999220059,146.66002624547372
2020-04-29,145.15534793335775,150.33755474394798
2020-04-30,143.74835284422153,147.5280241584842
2020-05-01,139.70410659258715,142.6544293190401
2020-05-04,140.3934154922331,144.56671251719345
2020-05-05,141.74506265963666,146.9817704627736
2020-05-06,140.87236508842344,146.65844519280887
2020-05-07,142.6665631242407,148.8019573431986
2020-05-08,145.13947943657877,150.05849894859946
2020-05-11,145.19845444328945,150.77827317427892
2020-05-12,142.24181054781877,147.03552625337898
2020-05-13,139.69644553809835,144.87738936583924
2020-05-14,141.352814344749,146.94105835665334
2020-05-15,141.94617987156158,147.48968363136126
2020-05-18,146.4249090525879,151.59686319151237
2020-05-19,144.9538005863554,148.83990260715535
2020-05-20,147.40525664590655,150.73756106815867
2020-05-21,146.3079123115005,150.3126531644764
2020-05-22,146.74147684437554,151.46405476766378
2020-05-25,146.74147684437554,151.4225521352111
2020-05-26,148.54816042271344,152.01663267403387
2020-05-27,150.71641322216618,154.39730272415323
2020-05-28,150.4214800622509,152.9451058514754
2020-05-29,151.22573965504785,152.82296953311464
2020-06-01,151.90509732154877,153.3166532277185
2020-06-02,153.13848059317706,153.9324732406831
2020-06-03,155.21963685206674,155.51708327404327
2020-06-04,154.56298334249584,153.15933848756444
2020-06-05,158.45166019933376,157.43608594602227
2020-06-08,160.36729583028202,159.51596072665123
2020-06-09,159.15552393998138,157.5645464750425
2020-06-10,158.50307877900678,156.95307435690623
2020-06-11,149.28924828547565,147.4525288937369
2020-06-12,151.21647431297242,151.1423105503639
2020-06-15,152.65999600788135,152.2063589938175
2020-06-16,155.51860398149293,155.56688643298645
