Date,S&P USD,S&P SEK,S&P BRL,S&P BTC
2020-07-22,121.52,131.6,189.89,183.16
2020-07-23,120.03,129.72,189.15,176.5
2020-07-24,119.28,129.22,189.96,172.75
2020-07-27,120.16,128.48,190.95,170.97
2020-07-28,119.39,127.88,189.16,165.91
2020-07-29,120.87,129.46,190.77,151.19
2020-07-30,120.42,128.89,191.31,152.1
2020-07-31,121.34,129.9,193.31,150.95
2020-08-03,122.21,130.99,199.32,142.77
2020-08-04,122.65,131.25,200.26,152.93
2020-08-05,123.44,130.7,200.29,151.66
2020-08-06,124.24,132.22,203.9,153.29
2020-08-07,124.31,133.13,207.1,146.13
2020-08-10,124.66,133.34,207.24,146.31
2020-08-11,123.66,132.24,205.59,146.19
2020-08-12,125.39,133.32,210.44,145.63
2020-08-13,125.14,132.97,206.52,151.71
2020-08-14,125.11,133.17,206.66,149.32
2020-08-17,125.45,133.43,210.5,145.93
2020-08-18,125.74,133.06,211.41,145.78
2020-08-19,125.19,132.62,211.25,140.65
2020-08-20,125.58,133.78,217.02,144.92
2020-08-21,126.02,135.68,216.14,148.33
2020-08-24,127.28,136.77,218.55,150.47
2020-08-25,127.74,137.11,219.48,151.41
2020-08-26,129.04,137.99,221.82,151.51
2020-08-27,129.26,137.76,221.76,157.47
2020-08-28,130.13,137.37,217.29,156.74
2020-08-31,129.84,137.03,217.72,156.2
2020-09-01,130.82,138.81,214.87,154.33
2020-09-02,132.83,141.91,218.06,157.35
2020-09-03,128.16,137.21,208.54,148.47
2020-09-04,127.12,136.33,206.05,154.05
2020-09-08,123.59,133.27,202.74,166.47
2020-09-09,126.08,135.19,204.27,167.97
2020-09-10,123.87,132.41,201.34,169.03
2020-09-11,123.93,133.22,201.51,167.36
2020-09-14,125.51,134.62,203.51,165.95
2020-09-15,126.17,135.67,204.42,168.68
2020-09-16,125.58,135.06,201.77,162.5
2020-09-17,124.53,134.2,200.74,159.47
2020-09-18,123.13,131.9,200.28,155.34
2020-09-21,121.71,132.29,202.96,151.7
2020-09-22,122.99,134.06,206.24,155.57
2020-09-23,120.07,131.95,204.26,159.0
2020-09-24,120.43,134.32,204.19,157.94
2020-09-25,122.36,136.76,208.72,165.13
2020-09-28,124.33,137.85,214.03,160.0
2020-09-29,123.73,136.27,214.98,158.61
2020-09-30,124.75,136.81,215.41,161.15
2020-10-01,125.41,136.88,217.08,159.78
2020-10-02,124.21,135.75,216.36,159.18
2020-10-05,126.44,137.6,217.74,165.51
2020-10-06,124.67,136.03,211.75,161.34
2020-10-07,126.84,138.03,218.24,162.39
2020-10-08,127.86,138.8,219.3,166.55
2020-10-09,128.98,138.76,218.35,166.95
2020-10-13,130.27,140.51,223.42,158.16
2020-10-14,129.41,139.71,221.39,154.89
2020-10-15,129.21,140.22,222.46,156.17
2020-10-16,129.23,139.74,222.76,156.15
2020-10-19,127.12,136.97,217.37,154.47
2020-10-20,127.72,136.7,218.38,153.29
2020-10-21,127.44,135.97,219.11,149.7
2020-10-22,128.11,137.62,219.31,148.37
2020-10-23,128.55,137.93,221.21,138.37
2020-10-26,126.16,135.1,217.12,132.73
2020-10-27,125.78,133.93,217.79,133.26
2020-10-28,121.34,131.34,213.53,128.17
2020-10-29,122.79,134.36,217.53,124.23
2020-10-30,121.3,132.11,214.14,126.07
2020-11-02,122.79,133.99,216.17,122.81
2020-11-03,124.98,135.15,219.64,125.46
2020-11-04,127.73,137.1,221.4,129.96
2020-11-05,130.22,138.89,222.28,128.26
2020-11-06,130.18,137.53,217.81,127.02
2020-11-09,131.7,139.14,216.8,122.58
2020-11-10,131.52,138.65,216.57,117.27
2020-11-12,131.2,138.44,217.77,118.31
2020-11-13,132.99,141.49,224.26,116.93
2020-11-16,134.54,142.11,222.71,115.48
2020-11-17,133.89,141.36,219.19,115.82
2020-11-18,132.35,138.97,215.31,109.3
2020-11-19,132.87,140.29,216.49,103.8
2020-11-20,131.97,139.15,217.13,102.41
2020-11-23,132.71,140.46,221.16,98.02
2020-11-24,134.85,141.38,222.87,101.11
2020-11-25,134.64,140.32,219.68,101.08
2020-11-30,134.34,140.68,221.51,104.64
2020-12-01,135.86,141.44,219.2,103.15
2020-12-02,136.1,141.53,218.56,95.38
2020-12-03,136.02,140.49,213.67,99.97
2020-12-04,137.22,141.87,217.1,98.57
2020-12-07,136.95,140.54,212.91,98.75
2020-12-08,137.33,142.37,213.97,97.89
2020-12-09,136.24,141.56,215.11,98.11
2020-12-10,136.07,140.69,211.48,102.59
2020-12-11,135.89,140.87,210.54,101.16
2020-12-14,135.3,139.29,211.97,99.39
2020-12-15,137.05,140.46,214.71,98.77
2020-12-16,137.29,140.52,215.84,98.37
2020-12-17,138.08,139.71,214.16,98.11
2020-12-18,137.6,139.39,214.33,88.9
2020-12-21,137.06,138.49,215.47,79.31
2020-12-22,136.78,139.42,216.33,80.42
2020-12-23,136.88,138.75,218.57,83.12
2020-12-28,138.56,140.48,225.2,72.38
2020-12-29,138.25,138.56,219.03,72.76
2020-12-30,138.44,138.86,219.67,70.72
2020-12-31,139.33,139.96,221.83,70.3
