Date,IWDA,VG_GB
2020-01-01,0.0,0.0
2020-01-02,0.010782391730529417,0.002156789197299558
2020-01-03,-0.0005289605924359009,0.0034621502760361356
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,-0.0027344094557644194,-0.000372995151062927
2020-01-07,0.0065451972404033665,-0.0011194029850747356
2020-01-08,0.0031634446397186267,-0.0013074336944340903
2020-01-09,0.00674491941135269,-0.0006545726575647448
2020-01-10,-0.000783085356303892,0.0014035744362308478
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,-0.0007836990595611049,-0.000840964305737324
2020-01-14,0.003660130718954324,0.0008416721219490775
2020-01-15,0.0004341408352870335,0.0014950476546440328
2020-01-16,0.004079152924839402,-0.00037320395596196487
2020-01-17,0.00786584838793325,-0.0003733432891545041
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0012864493996569415,0.00018674136321217283
2020-01-21,-0.0013704496788007337,0.0024271844660193054
2020-01-22,0.0018011836349598465,0.0006518904823988869
2020-01-23,-0.0036815068493150083,0.002326663564448772
2020-01-24,0.00489816963134837,0.0014856081708449764
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,-0.02120745681546099,0.003986649360281813
2020-01-28,0.010571378647562524,-0.0017545479730355362
2020-01-29,0.0028529437192010842,0.002220166512488575
2020-01-30,-0.01120689655172391,0.00046151006091932345
2020-01-31,-0.011508282476024534,0.0021219669711229905
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.006350326336214573,-0.0005523844595839433
2020-02-04,0.018054338299736905,-0.002487103905674193
2020-02-05,0.009125344352617137,-0.002216271123834268
2020-02-06,0.007507251322300013,0.0002776492364646721
2020-02-07,-0.00042337002540226987,0.0024056254626203533
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.002371876323591593,0.0013845301827579704
2020-02-11,0.007436829206456608,-0.0011982671213935925
2020-02-12,0.005704219444677694,-0.0009228497600590746
2020-02-13,0.0035866210693134004,0.0003694808793643922
2020-02-14,0.0,0.000738688827331524
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.003075132978723527,0.000369071784462216
2020-02-18,-0.006545695583726974,0.0011990407673860837
2020-02-19,0.010258548790658795,0.00018424689083351709
2020-02-20,-0.01089738297696674,0.0017500230266187522
2020-02-21,-0.0062599115265837835,0.002022802500919463
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,-0.03334453216865452,0.0024775188107910573
2020-02-25,-0.016595707707011687,0.0012814645308922845
2020-02-26,-0.003445838487365349,-0.0013712405155863472
2020-02-27,-0.04344356769217117,0.0006407909190773164
2020-02-28,-0.04004078227824648,0.0036593175372792164
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.011296707540793482,-0.00045574696928252223
2020-03-03,0.011456940996753984,0.004103592923581978
2020-03-04,0.008684160845761735,9.081827263646147e-05
2020-03-05,-0.007299270072992692,0.00236106066109687
2020-03-06,-0.041855203619909576,0.005073382859213771
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,-0.06099960645415192,0.0
2020-03-10,-0.01131601005867544,-0.009825130701279994
2020-03-11,0.0018016108520557683,-0.0029130632680928192
2020-03-12,-0.08928382524066425,-0.01004291061809559
2020-03-13,0.016494366360785273,-0.007101355713363566
2020-03-14,0.0,0.0
2020-03-15,0.0,0.0
2020-03-16,-0.03096788938407058,0.0011146201003158218
2020-03-17,0.01910377358490578,-0.011876043792911406
2020-03-18,-0.036102753992131364,-0.011737089201877993
2020-03-19,0.01716686674669865,-0.0046555819477434035
2020-03-20,0.006137141508320454,0.01126384116074819
2020-03-21,0.0,0.0
2020-03-22,0.0,0.0
2020-03-23,-0.05700879765395894,0.003303756843496375
2020-03-24,0.08384127379027251,-0.0019757267852104077
2020-03-25,0.028004131757144446,0.0013197586727000665
2020-03-26,0.01775147928994092,0.006495951798154875
2020-03-27,-0.023913997367266293,0.005892807033953673
2020-03-28,0.0,0.0
2020-03-29,0.0,0.0
2020-03-30,0.021577882670262838,0.0005579319323041343
2020-03-31,0.015181518151815121,-0.0005576208178437181
2020-04-01,-0.042262678803640985,0.0013018411753766834
2020-04-02,0.009051821679112892,9.286775631478505e-05
2020-04-03,-0.003588248486207646,9.2859132695855e-05
2020-04-04,0.0,0.0
2020-04-05,0.0,0.0
2020-04-06,0.04197614224622992,-0.0008356545961003548
2020-04-07,0.030348849767793507,-0.0002787844995819633
2020-04-08,-0.00010482180293513998,-0.0015802193716303314
2020-04-09,0.020232728797567878,0.006330881668373589
2020-04-10,0.0,0.0
2020-04-11,0.0,0.0
2020-04-12,0.0,0.0
2020-04-13,0.0,-0.00027754648903699497
2020-04-14,0.0078092889436909285,0.0012955765315565415
2020-04-15,-0.017332789559543205,0.003512014787430573
2020-04-16,0.010479352562772437,0.0015656658684841673
2020-04-17,0.015196632097751461,-0.0008275862068966022
2020-04-18,0.0,0.0
2020-04-19,0.0,0.0
2020-04-20,0.007080004045716626,-0.000828271673108838
2020-04-21,-0.0389675605101939,0.0006447453255964408
2020-04-22,0.02225937924548016,-0.0014727540500736325
2020-04-23,0.013494172970762719,0.0023967551622419148
2020-04-24,-0.009683276175105893,0.00137943718962652
2020-04-25,0.0,0.0
2020-04-26,0.0,0.0
2020-04-27,0.023120798533306175,-0.0016530443566903363
2020-04-28,0.007068193130910894,0.002299696440070109
2020-04-29,0.019177540529853543,0.0008259911894272776
