Date,S&P,CBR,Ratio
2005-05-26,257.3092103891424,255.74863963489554,1.006101970890147
2005-05-27,257.5584442696861,256.45954010882923,1.0042849026415261
2005-05-31,255.99432660496274,256.3454449710374,0.9986302921586364
2005-06-01,258.2975172733399,261.68158680007025,0.9870679875947258
2005-06-02,258.7422724186899,260.9092504827102,0.9916945142419781
2005-06-03,256.96545489379497,265.0166754432157,0.9696199473638561
2005-06-06,257.2855799854415,264.95523959978937,0.9710529988916891
2005-06-07,257.23186736970393,263.52466210286116,0.9761206610305757
2005-06-08,256.67541201418504,260.23345620502016,0.9863274913121395
2005-06-09,258.0203780104013,262.84009127611023,0.981662944787803
2005-06-10,257.41448501783884,260.5055292259084,0.9881344391527712
2005-06-13,257.9967213798372,264.10391434088115,0.9768757953615131
2005-06-14,258.66062819369427,263.7791820256275,0.9805953078153228
2005-06-15,259.23426214457845,266.25416886080393,0.9736345660003715
2005-06-16,260.1753082213741,268.56240126382306,0.9687704123772342
2005-06-17,261.46441099907435,272.9331226961559,0.9579797732727032
2005-06-20,261.2796427481609,275.37300333508864,0.9488208342276088
2005-06-21,260.74466719356434,272.9770054414604,0.9551891258089164
2005-06-22,260.802681014859,271.70440582762853,0.9598765254484475
2005-06-23,257.9773921816934,273.3456205020186,0.9437773018199437
2005-06-24,256.0093545975494,274.0389678778305,0.9342078485410189
2005-06-27,255.8202851410789,273.2754081095313,0.9361262577953731
2005-06-28,258.15785922704976,267.2283658065649,0.9660570967002773
2005-06-29,257.7883227252228,266.0172020361594,0.9690663639495839
2005-06-30,255.9577925845905,263.2964718272775,0.9721276962362747
2005-07-01,256.6259743771415,266.6842197647885,0.9622840624146483
2005-07-05,258.8926572520096,271.86238371072494,0.9522930451734883
2005-07-06,256.73339960861654,274.98683517640865,0.9336206929466925
2005-07-07,257.3629230048799,273.83710724942955,0.9398394746058144
2005-07-08,260.3686788834018,271.9852553975777,0.9572896828646272
2005-07-11,261.9972359508923,271.11637704054766,0.9663644771695531
2005-07-12,262.59237592956197,273.54748113041956,0.959951723351331
2005-07-13,262.82443121474046,273.42460944356685,0.9612318062723092
2005-07-14,263.51409280821383,271.29190802176583,0.9713304562960721
2005-07-15,263.8191899072736,271.69562927856765,0.9710100622810593
2005-07-18,262.3603468712467,269.37862032648763,0.9739464347737219
2005-07-19,264.1264113822488,267.5004388274531,0.9873868339805579
2005-07-20,265.38328134513387,266.25416886080393,0.9967291121885669
2005-07-21,263.6301204508031,263.9634895559066,0.998737063577753
2005-07-22,265.05673067201485,267.026505178164,0.9926232996801765
2005-07-25,264.05767077392454,267.9480428295594,0.9854808715355703
2005-07-26,264.51530330908264,268.6764964016149,0.9845122548929173
2005-07-27,265.7249124645659,269.5278216605231,0.9858904762687279
2005-07-28,267.21381148576626,272.53817798841493,0.9804637774349728
2005-07-29,265.16415590348987,273.8283307003686,0.9683591001167832
2005-08-01,265.415514159949,276.215552044936,0.9608999645203541
2005-08-02,267.29975691631887,278.71686852729505,0.9590368833027482
2005-08-03,267.4974287839036,276.74214498859044,0.9665944765837239
2005-08-04,265.5250899942025,277.1019835000878,0.9582215422652086
2005-08-05,263.4969142128486,277.92697911181324,0.9480796540692825
2005-08-08,262.79004779714677,279.31367386343686,0.9408420438651032
2005-08-09,264.5625641164845,276.1716692996314,0.9579641705733704
2005-08-10,264.07915057484695,280.79691065473054,0.9404631623585067
2005-08-11,265.94406413307297,283.1226961558715,0.9393244262786303
2005-08-12,264.349864256313,283.44742847112514,0.9326239637529201
2005-08-15,265.09753967108105,279.8929261014569,0.9471391198182237
2005-08-16,261.9757561499699,280.4897314375987,0.9339941066906842
2005-08-17,262.16912681199756,275.3027909426014,0.9522937486916283
2005-08-18,261.9070155416457,273.6089169738459,0.9572312863132353
2005-08-19,262.0552497721869,276.6192733017378,0.9473499320719263
2005-08-22,262.4892519036441,278.3219238195541,0.9431138169116176
2005-08-23,261.5997678398074,278.70809197823417,0.9386156174476525
2005-08-24,259.8809641362071,280.86712304721783,0.9252808278757403
2005-08-25,260.4782547176554,279.38388625592415,0.9323309880479268
2005-08-26,258.9162876557105,278.30437072143235,0.9303349673759588
2005-08-29,260.4589255195116,283.6843952957697,0.9181291951147217
2005-08-30,259.62745527696944,290.67930489731435,0.8931748869039221
2005-08-31,262.1884560101414,289.11707916447256,0.9068591062411362
2005-09-01,262.4591696916075,295.067579427769,0.889488334166025
2005-09-02,261.69216507869567,290.81095313322805,0.8998703874774885
2005-09-06,264.99441564516314,289.0644198701071,0.9167313492412523
2005-09-07,265.63251522567754,284.526944005617,0.9335935341871648
2005-09-08,264.6248791433362,284.9833245567843,0.9285626783773745
2005-09-09,266.7325485469072,283.7633842373179,0.9399822646738403
2005-09-12,266.5349029061856,280.83201685097424,0.9490901567951366
2005-09-13,264.5238794933337,279.09426013691416,0.947794051241209
2005-09-14,263.65590145728254,282.306477093207,0.9339350062812526
2005-09-15,263.7783546813443,280.5950500263296,0.9400677405271144
2005-09-16,265.9655439339954,276.80358083201685,0.9608457489406587
2005-09-19,264.48522109704606,287.3529928032298,0.9204192325157271
2005-09-20,262.40545707587,285.3782692645252,0.9195004852756989
2005-09-21,260.01201977138305,287.0282604879761,0.9058760253409792
2005-09-22,260.96166825929294,288.1253291205898,0.9057227597996842
2005-09-23,261.10562751114014,283.5790767070388,0.9207506792924797
2005-09-26,261.1786693250215,286.940494997367,0.910218926497001
2005-09-27,261.18512113335714,287.0194839389152,0.9099909091500693
2005-09-28,261.4493830064876,292.548709847288,0.8936952179449554
2005-09-29,263.76762789431467,293.8827453045463,0.8975267589152818
2005-09-30,264.01040996652273,292.2327540810953,0.903425116724798
2005-10-03,263.5570524100586,292.4521678076181,0.901197123570076
2005-10-04,260.9294354444778,289.38915218536073,0.9016558964772329
2005-10-05,257.04494851601197,288.0463401790416,0.8923735964020233
2005-10-06,255.99217600218415,284.29875373003335,0.900433690417339
2005-10-07,256.9396738873155,285.42215200982974,0.9002092937708166
2005-10-10,255.09839073279034,286.0803931893979,0.8917017621822964
2005-10-11,254.5698669865295,290.03861681586807,0.8777102503841548
2005-10-12,253.02510474681304,291.4691943127962,0.8681023918955699
2005-10-13,252.84461147459356,288.6782517114271,0.8758699693364705
2005-10-14,254.9351022827993,287.5548534316307,0.8865616394244339
2005-10-17,255.69353071146006,291.77637352992804,0.876333911543503
2005-10-18,253.1239275671739,288.9064419870107,0.8761449756061668
2005-10-19,256.90959167527893,286.78251711427066,0.8958342170241548
2005-10-20,253.05088575329253,282.9208355274706,0.8944229408962077
2005-10-21,253.43545024770617,283.05248376338426,0.8953655762991424
2005-10-24,257.6873493020835,282.0431806213797,0.9136450267450644
2005-10-25,257.0771813308271,288.9152185360716,0.8898014532894207
2005-10-26,255.96854559848325,284.5708267509215,0.8994897633077714
2005-10-27,253.28721601716495,283.84237317886607,0.8923516710366338
2005-10-28,257.4789506474691,282.7189748990697,0.9107239821430053
2005-10-31,259.32665938346673,277.5934702474987,0.9341958193478199
2005-11-01,258.41354491592915,277.18974899069684,0.9322622710863746
2005-11-02,260.9917504713295,277.7426715815341,0.9396890617677838
2005-11-03,262.10466118236735,281.98174477795334,0.9295093247570398
2005-11-04,262.1476470110752,279.7700544146042,0.9370111020623618
2005-11-07,262.72130718882255,278.61154993856417,0.9429663172497855
2005-11-08,261.81461830275737,279.304897314376,0.9373792612310261
2005-11-09,262.2572228453288,277.8128839740214,0.9440066964995502
2005-11-10,264.4723174803748,276.0487976127786,0.9580636458752394
2005-11-11,265.2801573192159,276.979111813235,0.9577623221569588
2005-11-14,265.07390926738015,276.5315078111287,0.9585667519971212
2005-11-15,264.0533695683675,274.469018781815,0.9620516397090074
2005-11-16,264.52603009611227,276.73336843952956,0.9558877253861607
2005-11-17,267.0161658450446,274.8902931367386,0.9713553825351805
2005-11-18,268.19139158293416,274.4777953308759,0.9770968586352727
2005-11-21,269.6050981874746,275.2589081972968,0.9794600289347593
2005-11-22,270.97584519017033,276.90012287168685,0.9786050016154678
2005-11-23,271.916891266966,275.91714937686504,0.9855019591245658
2005-11-28,270.1658547485506,274.46024223275407,0.9843533349338021
2005-11-29,270.1701559541077,273.1525364226786,0.9890816299653321
2005-11-30,268.45135225050745,275.82060733719504,0.9732824347033703
2005-12-01,271.7149444206873,281.4727049324206,0.9653331909604661
2005-12-02,271.80301422715536,283.81604353168336,0.9576731845210613
2005-12-05,271.1606134410838,285.75566087414427,0.9489247303503514
2005-12-06,271.50651953920976,284.6147094962261,0.9539440882018427
2005-12-07,270.1465255504068,284.93944181147975,0.948083999298138
2005-12-08,269.8177980476461,290.01228716868525,0.9303667809450671
2005-12-09,270.57622647630683,287.7040547656661,0.9404671988258565
2005-12-12,270.8039805559282,292.87344216254166,0.9246450567738227
2005-12-13,272.3079337965784,294.5585395822363,0.9244611756385837
2005-12-14,273.4487761168742,290.8548358785326,0.940155508471836
2005-12-15,273.06203479281896,288.40617869053887,0.9467967573809012
2005-12-16,272.2842771660143,286.4314551518343,0.950608853422468
2005-12-19,270.69440472167463,286.19448832718973,0.945840733355442
2005-12-20,270.62993909204437,285.94874495348427,0.9464281409455676
2005-12-21,271.3110245012667,286.5806564858697,0.9467178553785052
2005-12-22,272.45616802711965,286.78251711427066,0.9500445521180687
2005-12-23,272.5721956697089,286.3875724065298,0.9517598594773874
2005-12-27,269.968209107829,284.87800596805334,0.9476625202793074
2005-12-28,270.3184164115121,289.02931367386344,0.9352629772236027
2005-12-29,269.51272717544947,289.0380902229243,0.9324470936255644
2005-12-30,268.1956927884913,291.23222748815164,0.9208997750752101
2006-01-03,272.60227788174547,295.21678076180444,0.9233969599502357
2006-01-04,273.6034621557511,297.07740916271723,0.9209837359457084
2006-01-05,273.60776336130823,294.71651746533263,0.9283760737756838
2006-01-06,276.1795171083729,297.9375109706864,0.9269712840406518
2006-01-09,277.18933002035595,296.0593294716517,0.9362627771772258
2006-01-10,277.090480973132,295.28699315429174,0.9383768584359834
2006-01-11,278.0551836804918,294.6375285237844,0.9437195087592041
2006-01-12,276.31059897041206,293.7598736176935,0.9406002105311689
2006-01-13,276.6436014518667,295.62927856766714,0.935778765865862
2006-01-17,275.6381159723039,300.5529225908373,0.9171034292271663
2006-01-18,274.5638636575538,297.34948218360546,0.9233709157361769
2006-01-19,276.0914473019049,299.5787256450763,0.9215989777224776
2006-01-20,271.0317084086864,302.92259083728277,0.8947226671327172
2006-01-23,271.5323005456892,302.5978585220291,0.8973371519280652
2006-01-24,272.1854543456535,301.6675443215728,0.9022695993292144
2006-01-25,271.71709502346584,300.61435843426364,0.9038726441368008
2006-01-26,273.68295577796806,301.4393540459891,0.9079204559873547
2006-01-27,275.8078300037675,304.5111462173073,0.9057396861491028
2006-01-30,276.1236538898569,307.2318764261892,0.8987467612469375
2006-01-31,275.0257711714058,306.00315955766195,0.8987677498786776
2006-02-01,275.5371163223014,302.43110408987184,0.9110740019664827
2006-02-02,273.04055499189656,301.15850447604,0.9066340512845107
2006-02-03,271.5774369771757,303.580832016851,0.8945803171199594
2006-02-06,271.7901368373472,301.25504651571003,0.902192809650323
2006-02-07,269.5900701948879,295.2694400561699,0.9130307225278819
2006-02-08,271.9254936780802,294.95348428997715,0.9219267042485334
2006-02-09,271.52372436143816,295.7345971563981,0.9181331064144784
2006-02-10,272.2133859549116,291.0303668597508,0.935343582500079
2006-02-13,271.3260524938534,287.49341758820435,0.9437643990948394
2006-02-14,274.04821730110103,285.2817272248552,0.9606231004241639
2006-02-15,275.0085925760405,281.50781112866423,0.9769128304945924
2006-02-16,277.02389096758634,283.13147270493243,0.9784284605346183
2006-02-17,276.5641078296497,286.2471476215552,0.9661724496737785
2006-02-21,275.6595957732263,289.8543092855889,0.951028109441089
2006-02-22,277.73075738328816,286.14182903282426,0.9706052355995417
2006-02-23,276.6822860750175,284.4567316131297,0.9726691455181109
2006-02-24,277.0346439814791,288.66069861330527,0.9597241512693745
2006-02-27,278.04228006382044,281.71844830612605,0.9869509140618618
2006-02-28,275.15040122510925,284.67614533965246,0.966538312849579
2006-03-01,277.42350968144984,285.0974196945761,0.9730832007481959
2006-03-02,276.9723289546274,288.93277163419344,0.9586047556602244
2006-03-03,276.5619572268712,290.80217658416706,0.9510312490622838
2006-03-06,274.6347548686565,285.4572582060734,0.9620871320441113
2006-03-07,274.1234097177609,282.12216956292787,0.9716478862417695
2006-03-08,274.6798650732798,278.9801649991224,0.9845856427611759
2006-03-09,273.33920028262065,280.78813410566966,0.9734713368612445
2006-03-10,275.3136896751003,280.3405301035633,0.9820688060102976
2006-03-13,275.8959260370987,283.4737581183079,0.9732679591525133
2006-03-14,278.764174472109,286.96682464454983,0.9714160332554085
2006-03-15,279.9544544294484,285.7907670703879,0.9795783723149387
2006-03-16,280.45074536089413,287.47586449008253,0.9755627515316829
2006-03-17,280.86326769142886,285.9662980516061,0.9821551336820246
2006-03-20,280.3970327451566,281.4112690889942,0.9963958929323586
2006-03-21,278.71046185637147,283.28067403896785,0.9838668409057524
2006-03-22,280.3884565609055,281.08653677374053,0.9975164936006987
2006-03-23,279.6644115498384,286.0628400912761,0.9776327867702213
2006-03-24,279.9394002099985,286.9756011936107,0.9754815358715281
2006-03-27,279.6515079331671,287.616289275057,0.9723076138630212
2006-03-28,277.8510600045713,291.0830261541162,0.9545422956316967
2006-03-29,279.9265228201903,292.1888713357908,0.9580328009771861
2006-03-30,279.35931445077864,296.04177637352996,0.9436482846201333
2006-03-31,278.20341791103294,292.41706161137444,0.9513925636827868
2006-04-03,278.83509191007494,294.5497630331754,0.9466485018990475
2006-04-04,280.5796766201546,291.7588204318062,0.9616836132148247
2006-04-05,281.78928577563784,294.99736703528174,0.9552264435700397
2006-04-06,281.2478584127057,297.83219238195545,0.9443165165034236
2006-04-07,278.338774751766,295.92768123573813,0.9405634970999529
2006-04-10,278.57940622119554,298.3938915218536,0.933596210030972
2006-04-11,276.4201485778024,298.8239424258382,0.9250267777536068
2006-04-12,276.75317728612026,298.9555906617518,0.9257334063347487
2006-04-13,276.9680277490703,300.43882745304546,0.9218782741799798
2006-04-17,276.15373610189346,305.8276285764437,0.9029718387031437
2006-04-18,280.8697194997646,311.4709496226084,0.9017525385275206
2006-04-19,281.43907847195476,313.5860979462875,0.8974858270667374
2006-04-20,281.7677797478523,310.637177461822,0.9070639324312113
2006-04-21,281.7291213515647,314.7182727751448,0.8951787859894945
2006-04-24,281.0480359423424,309.42601369141653,0.9082883258245544
2006-04-25,279.6794395424252,309.75074600667017,0.9029177270695018
2006-04-26,280.4679501831225,309.43479024047747,0.9063879015192722
2006-04-27,281.3939420404683,303.39652448657193,0.9274791216434074
2006-04-28,281.5851620997174,307.08267509215375,0.9169685721124298
2006-05-01,280.4206631488575,311.7605757416184,0.8994744203361528
2006-05-02,282.14376805801487,313.34035457258204,0.9004386570088571
2006-05-03,281.0501865451209,309.1100579252238,0.9092236869662428
2006-05-04,281.93752000617906,307.08267509215375,0.9181160087314311
2006-05-05,284.84015185878303,308.86431455151836,0.9222177455896151
2006-05-08,284.60382159491064,307.4863963489556,0.9255818305273046
2006-05-09,284.70694562082855,311.506055818852,0.9139692160154737
2006-05-10,284.21492966807676,316.14885027207305,0.8989908690905742
2006-05-11,280.5775260173761,320.6512199403195,0.8750240403563659
2006-05-12,277.42350968144984,317.49166227839214,0.8737977800443509
2006-05-15,278.123924288816,308.98718623837107,0.9001147512772736
2006-05-16,277.6039767268062,309.98771283131475,0.8955321944578792
2006-05-17,272.9288285548644,306.6350710900474,0.890077014297935
2006-05-18,271.10047524387375,305.994383008601,0.8859655284464929
2006-05-19,272.22198836602576,300.41249780586276,0.9061606636017696
2006-05-22,271.1563122355267,302.14147797086184,0.8974481559320255
2006-05-23,269.9767852920801,309.2065999648938,0.8731274989690784
2006-05-24,270.40433561520155,300.60558188520275,0.8995319844674918
2006-05-25,273.4788583289108,303.9757767245919,0.8996731952647926
2006-05-26,275.04297599363423,305.26592943654555,0.9009946720923088
2006-05-30,270.6836517077819,305.318588730911,0.8865613221681232
2006-05-31,272.87941714468406,302.67684746357736,0.9015536517953228
2006-06-01,276.235380326889,301.1409513779182,0.9172959674296378
2006-06-02,276.7746570870426,307.22309987712833,0.9008914277531105
2006-06-05,271.84815065864177,306.1084781463928,0.888077822296165
2006-06-06,271.5387523540249,302.5978585220291,0.8973584733226289
2006-06-07,269.8844142800549,301.22871686852733,0.8959451711167604
2006-06-08,270.26685439855316,297.7268737932245,0.9077677502040252
2006-06-09,269.05724524306993,298.4816570124627,0.9014196984032282
2006-06-12,265.86454428399287,296.998420221169,0.8951715772966357
2006-06-13,262.9103504184299,289.8279796384062,0.9071254981884112
2006-06-14,264.27467183965314,291.4077584693698,0.9068896217031618
2006-06-15,269.88656488283345,296.26119010005266,0.9109750919169939
2006-06-16,268.8939567930788,297.71809724416363,0.903183109398131
2006-06-19,266.4425056672973,292.75934702474984,0.9101075964784561
2006-06-20,266.4403550645187,292.34684921888714,0.9113843907550664
2006-06-21,269.0357392152844,295.550289626119,0.9102875167391093
2006-06-22,267.6177314051868,295.0324732315254,0.9070789004137013
2006-06-23,267.38140114131437,294.0494997367035,0.9093074512309384
2006-06-26,268.6834075356859,296.09443566789537,0.9074247103955909
2006-06-27,266.24268319693397,295.8311391960681,0.899981942132455
2006-06-28,267.70367683573943,296.81411269088994,0.9019236801402807
2006-06-29,273.4767077261323,300.4212743549237,0.9103107238771694
2006-06-30,272.90304754838496,304.0108829208355,0.897675257301394
2006-07-05,273.05560921134645,307.05634544497104,0.8892687393111763
2006-07-06,273.7366683937056,309.6893101632438,0.8839073852740128
2006-07-07,271.88895965770797,305.4677900649465,0.8900740716391106
2006-07-10,272.2885783715714,304.25662629454104,0.8949306435416057
2006-07-11,273.38218611132856,307.4249605055292,0.8892647677722044
2006-07-12,270.4107874235372,309.478672985782,0.8737622687039257
2006-07-13,266.9044394080125,312.37493417588206,0.8544361605458795
2006-07-14,265.59813180808385,313.5071090047393,0.8471837613228376
2006-07-17,265.23074590903553,304.8183254344392,0.8701272980586654
2006-07-18,265.7399404571526,300.02632964718276,0.8857220656922031
2006-07-19,270.6707743179737,300.9566438476391,0.8993679981858193
2006-07-20,268.37615983384757,298.8590486220818,0.898002456580189
2006-07-21,266.47688908489096,298.0603826575391,0.8940365932196481
2006-07-24,270.9071045818461,300.7811128664209,0.900678576524045
2006-07-25,272.6194564771107,299.05213270142184,0.911611811674649
2006-07-26,272.5163324511928,300.1140951377918,0.9080424307497853
2006-07-27,271.39909430773474,302.2467965595928,0.8979386957844038
2006-07-28,274.69706989550826,301.76408636124273,0.9103040497889717
2006-07-31,274.2909993733091,307.0300157977883,0.8933686781749661
2006-08-01,273.05775981412495,306.79304897314375,0.8900389390439809
2006-08-02,274.4521372205216,310.4177637352993,0.8841379884900967
2006-08-03,275.06660639733514,307.1177812883974,0.895638817275237
2006-08-04,274.87108513252895,307.22309987712833,0.8946953703756705
2006-08-07,274.09977931406,308.89064419870107,0.8873683436580195
2006-08-08,273.17806243540815,307.8199052132702,0.8874606801211872
2006-08-09,271.9899330808473,310.42654028436016,0.8761813111459358
2006-08-10,273.2489798733741,305.4502369668246,0.8945777308499913
2006-08-11,272.15967333917405,302.37844479550637,0.9000630766628595
2006-08-14,272.47549722526344,297.3670352817272,0.9162935527373389
2006-08-15,276.20744871763094,297.31437598736176,0.9290080501501615
2006-08-16,278.3237467591793,296.2436370019309,0.93950961977072
2006-08-17,278.764174472109,291.10935580129893,0.9575926328605656
2006-08-18,279.7997683905715,291.6622783921362,0.9593279252052755
2006-08-21,278.7727768832232,294.45322099350534,0.9467472488248718
2006-08-22,279.0520667489403,295.4800772336318,0.9444023074635178
2006-08-23,277.7994979916124,293.7598736176935,0.9456686325823644
2006-08-24,278.45910359991234,294.99736703528174,0.9439375896755329
2006-08-25,278.2506787184348,295.12023872213445,0.9428383492886
2006-08-28,279.68804195353937,289.3540459891171,0.966594543364563
2006-08-29,280.22516811091447,287.6338423731789,0.9742426892429009
2006-08-30,280.4593477720083,287.08091978234165,0.9769348237585637
