"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2007-06-04,2009-03-09,2010-03-04,-30.56,722,463,259
"2",2015-04-14,2016-02-11,2016-11-24,-12.72,423,218,205
"3",2018-06-18,2018-12-24,2019-04-03,-10.39,209,137,72
"4",2011-07-12,2011-08-22,2012-01-03,-7.91,127,30,97
"5",2013-05-21,2013-06-24,2013-10-24,-7.01,114,25,89
