"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2007-06-04,2009-03-09,2009-10-07,-20.91,615,463,152
"2",2015-04-16,2016-02-11,2016-08-05,-8.94,342,216,126
"3",2018-08-13,2018-12-24,2019-03-29,-6.84,165,96,69
"4",2013-05-20,2013-06-24,2013-11-14,-6.03,130,26,104
"5",2011-07-12,2011-08-22,2011-12-16,-4.08,114,30,84
