"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2007-06-04,2009-03-09,2010-11-26,-43.91,914,463,451
"2",2015-04-14,2016-02-11,2016-12-08,-17.5,433,218,215
"3",2018-06-15,2018-12-24,2019-04-12,-15.18,217,138,79
"4",2011-01-12,2011-08-22,2012-01-17,-13.4,267,160,107
"5",2013-05-21,2013-06-24,2013-10-18,-8.45,110,25,85
